Code,forPNG,Latin name,Morphotyper,CodeMJ,Subfamily,Description,Note
ANCY 003,FALSE,Ancyridris sp. 3 sp. nov.,Petr 2014/03,,Myrmicinae,"yet smaller size than ANCY002 and both pairs of spines not curved backwards (long and straight), postpetiolus sharp (not rounded), redish coxa","Yawan, very similar sp. also found in Justine material - to compare photos later!"
ANOC 001,TRUE,"Anochetus cato Forel, 1901",,?,Ponerinae,"smaller, brown sp., Ponerinae with long mandibules (like Odontomachus but smaller and without division on back head), smooth head, lines only on clypeus","all species photos and descriptions checked (antbase, antweb, MJ photos) in the checklist, only species very close to it A. cato - our species seems to be a bit darker and with more round petiolus, but very close: W.Taylor would stick with cato (main diff. is only colour when compatred directly in ANIC)"
ANOC 002,FALSE,Anochetus sp. 2 aff. graeffei Mayr,Petr 2015/03,?,Ponerinae,"very diff from sp.1 = rugolose/dotty upper thorax and petiolus and liny whole head, sides of prothorax not smooth, deep carinae bellow antennas, fit to ""graeffei"" on ng.ants but australian types smoother top of head","Jimmy, Kausi 200 m"
ANOC 003,TRUE,Anochetus sp. 3,Petr 2015/04,,Ponerinae,"close to sp.1 but much larger with yellow append. includig petiolus, petiolus sharper (not oval from dorsal and lateral view)",
ANON 001,TRUE,"Anonychomyrma cf. scrutator (Smith F., 1859)",,ANON 001?,Dolichoderinae,"pointed petiolus and bigger size, very various (some indiv. ""majors"" biger than others in the same nest but not really majors and minors- look the same, just larger body and head) , compare to other ANON got steep mesonotha declivity and no hairs (or exceptionally one short hair) on propodeum and thin medium high petiolus, sacpus relatively long (well excessing head margin from frotal view)","ANIC: gilberti - very diff. - shorter petiolus, more hairs, and even thorax, larger head; ANIC A. scrutator compared with paratypes (Wilson) are very similar to our larger indiv. of ANON001 (and 007), type photo on antweb not good lateral view to confirm for 100%, A-murina -also form NG and looks a bit similar (hairs, petiolus), but scapus much shorter and head more concave."
ANON 002,TRUE,"Anonychomyrma minuta (Donisthorpe, 1943)",,?,Dolichoderinae,"similar to Technomyrmex- same size, but has sharp petiolus - smaller than ANON 001, another petiolus (shorter) and longer mesothorax, rounded propodeum and abdomen, small strong mandibles and characteristic shape of clypeus which might be sometimes lighter (redbrown) than black body","ANIC: quite close to sp. is also iterans depilis- Australia (Forel) and A.fornicata, but those have all high thin petiolus than PNG spc. (Antweb photos)"
ANON 003,TRUE,"Anonychomyrma dimorpha (Viehmeyer, 1912)",Nic,,Dolichoderinae,"larger size, dimorphic in Yawan, larger than ANON 001,shorter triangular petiole relative to body size, some longer petiolar hairs instead of many fine hairs and slighty less rounded petiole shape, broader mesothorax, colour brownish black with yellow-brown tarsi","ANIC: They got it in colections  mixed up with scrutator as dimorphic sp. with large ""majors"", which looks as former ANON010 / sp. 10), Ant web photos of types matches very well with Yawan w and s, as A. dimorpha"
ANON 004,FALSE,Anonychomyrma sp. 4 aff. minuta = se ANON002,Nic,,Dolichoderinae,"very close to ANON 002 from lowlands and Mt.Wilhelm , smaller than ANON3&6. Has broader more round petiole than ANON002, blacker in colour with steeper rear face of propodeum and broader head, DNA confirmes one clade with sp. 002 (Petr: barcoping, as well Pavel Maravavi: more genes)","Yawan (very close to sp. 2, barcodes match to the same gr. as Wanang lowlands and Plowman N. 2017 sp.2 along whole Mt. Wilhelm gradient - only Anon. which is widespread over many elevations)"
ANON 005,TRUE,Anonychomyrma sp. 5,Nic,,Dolichoderinae,similar to ANON4 but with more strong hairs all over. Petiole quite triangular when viewed from behind (unlike rounded petiole of Anon4).,"Yawan, almost dimorphic (small and bigger indiv. even in various nests!), Distinct by DNa from other anon clades"
---ANON 006,FALSE,Anonychomyrma sp. 6  = sp. 5,Petr 2014/03,,Dolichoderinae,"Larger than anon4&5, smaller and less concave head than anon3, distinct hump on thorax.",DNA shows clearly that it is the same as 005 (variability in size among colonies)- 005 assignes as w1 and former 006 as w2 in photos
---ANON 007,FALSE,Anonychomyrma sp. 7 aff. sp. 1 = ANON001,Petr,,Dolichoderinae,"larger size than ANON001, deeper (more visible) declinity in methanotal groove from side view, and generally more shiny black sp., from ant plants, very close to ANON001 (scrutator) / barcoding suggest same or very close sp. to ANON001, later joined back, is proven that very rarely sp. 001 present up to 1000 m","M. Leponce, Mt.Wilhelm transect data"
ANON 008,FALSE,"Anonychomyrma extensa (Emery, 1887)",Petr 2013/11,,Dolichoderinae,"close to ANON003 from Yawan, but has yet more longer and slender mesothorax with spiracle more distant from propodeum, a bit bigger body and larger eyes, very light tarsi and rather brownish colour, mandibulas and scapus are enlarged and longer respec. comparre to all other Anon. , NOTE: in Justine beating material few small workers like this occured, so it is very likely that this species has also size dimorphism as sp. 003 (also by DNA the same clade), does not have a "" petiolar depression"" on propodeum from the back view as sp. 003 (and former sp. 010), It could be also Iridimyrmex, but does not look as other Irid from PNG (smaller eyes) and has even clypeus as Anon. (x however larger mandibles with longer first teeth)","M. Leponce, Mt.Wilhelm transect data, not clear if Anonychomyrma or rather Iridomyrmex (confusing characters), it fits the type specimens of A.extensa in antweb (Shuttuck notes confusing characters between Iridom.+Anon species)"
ANON 009,TRUE,Anonychomyrma sp. 9,Petr 2014/03,,Dolichoderinae,"smaller with hairy propodeum and more convex propodeum and not so steep declivity in the middle from side view (sometimes can be even missing with only spicarcle visible as in sp. 004), scapus reaching only head margin, petiolus medium high but less thin compare to sp. 012 (rather triangular as in sp. 011), compare to sp.11 it got numerous haits on propodeum and lighter brown antens, well separate clade in Pavel Maravi phylogeny","M. Leponce, Mt.Wilhelm transect data, ant tree in lowst, 1200m"
---ANON 010,FALSE,Anonychomyrma sp. 10 aff. sp. 3 - see ANON003,Petr 2014/03,,Dolichoderinae,"changed to ANON003 from Yawan after morphology comp.  (fit very well with minor casta of this sp.)-  differences really tiny from sp. 003, larger size of ANON007 but has well visible hairs also on propodeum and a smaller petiolus with hairs especially in its front site","M. Leponce, Mt.Wilhelm transect data, ANIC: They got in colections  mixed up with scrutator also laregly dimorphic sp. with large ""majors"", which looks as former ANON010 / sp. 10 might be still good sp. because large majors are not present in Wanang sp. 3!, not succ.sequecned for COI in CB (Pavel Maravi did only Yawan spc.)"
ANON 011,FALSE,Anonychomyrma sp. 11 aff. sp. 9,Petr 2014/03,,Dolichoderinae,"very close to sp. 009:  hairs on propodeum, but long only on frontal part and sometimes lacking completely as in sp 001, can be small in size as ANON009 (but some individuals can be larger as in 001 in Wanang-polymorphy), dark black colour incl. dark antens, except brown tarsi, diff. clade in barcoding than 009/001 and smaller in size than 008/010 sp., does not have a citrus smell as sp.12, in Pavel Maravi phylogeny distinct lineage close to sp. 1 (scrutator)","M. Leponce, Mt.Wilhelm transect data, in Justine material also a species which resembles ANON010 but is smaller and got hight thin petiolus as ANON001-also 1200m site-could be the same!?: 13006-10 taken"
ANON 012,FALSE,Anonychomyrma sp. 12 aff. sp. 9,Petr 2014/03,,Dolichoderinae,"very hairy Anon, by shape  looks very close to sp. 009 but more hairy with higher thin petilus with short hairs around from back view, by propodeum shape also resembles quite sp.11 but has much more hairs over whole body and especially erected hairs on propodeum - seq. differently as ""citrus"" smelling clade","M. Leponce, Mt.Wilhelm transect data"
ANON 013,TRUE,Anonychomyrma sp. 13 aff. sp. 11,Petr 2014/03,,Dolichoderinae,"sequenced close to high-elevation sp. ANON011 (above 1200 m), much smaller in size (size of sp. 002 and 004 or smaller) and propodeal region thin and less rounded. Only few short hairs on propodeum or lacking as in sp. 011, medium-lenght petiolus of triangualar shape as sp. 011, but more pointed from dorsal view.","N. Plowman, Mt.Wilhelm transect data, Pavel Maravi: distinct species"
ANON 014,FALSE,Anonychomyrma sp. 14 aff. sp. 1,Petr 2015/03,,Dolichoderinae,"very close to ANON001, but smaller with few tiny hairs in front part of propodeum and generally smaller size-polymorph, propodeum narrow with less oblong upper part (resembling rather sp. 13 in this aspect), shorter scapu , DNA should yet confirmed with ANON001 (and ANON013) =if really well diff. sp., Numba only so far (around 900 m), in DNA within sp. 9 clade(!) (Pavel Maravi)","N. Plowman, Mt.Wilhelm transect data and Numba"
ANON 015,TRUE,Anonychomyrma sp. 15 aff. dimorpha,Jerome,,Dolichoderinae,"Black color with brown front head! minors resemble Anonychomyrma sp.3 but small triangular petiolus, straigt hairs all over obody including petiolus, and mesonotal declivity also very long but even up to spiracle, + broad  head and dimorphism with large ""majors"" (as in Philidris), not really sure if Anon or Philidris, according Shattuck key Phil, but DNA and color confirms spúecies related to Anon. dimorpha group.","Jerome Orivel, Mt.Wilhelm transect data/ in antweb closests to A.gilberti major photo (but this ""Phil"" has a much broader head)."
ANOP 001,FALSE,"Anoplolepis gracilipes (Smith F., 1857)",,?,Formicinae,medium yellow with long legs and antens,
ANTxxxx,FALSE,,,,,"unknown ant sp. (no ID, missing sample etc.)",
APHA 001,FALSE,"Aphaenogaster sp. aff. dromedaria (Emery, 1900)",,APHE 001?,Myrmicinae,"big black slender ant with long appendiges, long neck and 2 long propodeal spines","very close to A. dromedaria (MJ web), but it is not brown but black and has lines on sides of thorax"
APHA 002,FALSE,"Aphaenogaster quadrispina Emery, 1911",Petr 2019/02,,Myrmicinae,"dark brown large sp., resembles sp. 1 but two long pronotal spines, legs and coxas alos dark color,  head smooth except few (3-4) lines near each eye and on clypeus in frontal view",Exxon 1000 m
BOTH 001,FALSE,"Chronoxenus rossi Donisthorpe, 1950",,x,Dolichoderinae,"looks a bit like tiny PHIL (size of Tapinoma) - similar shape of head and petiolus, longer light hairs on abdomen only, light brown, eyes small in lower posterior position, match very well with original descr. and antweb foto",Bothriomyrmex before (change of genera name by taxonomists)
CALO 001,FALSE,"Calomyrmex laevissimus (Smith, 1859)",Michal M.,,Formicinae,"Similar to Polyrhachis, but different shape of thorax, especially propodeum. Characteristic shape of petiolus (by this can be differentiate from the other species of Calomyrmex from PNG)",determined by M. Michlewicz
CALY 001,FALSE,Calyptomyrmex beccarii Emery 1887,Petr 2017/07,,Myrmicinae,"triangle shaped head with eyes below carinas as 014migenys: diff. 12 segm. antens and very compact body with typical yellowish broad hairs over whole body, very deep carinas with antens protected by them, short broad mandibles",
CAMP 001,TRUE,"Colobopsis vitrea (Smith F., 1860)",,CAMP 001,Formicinae,"black, hairy body, tiny lines on the head and body, higher propodeum with lighter propodeal declivity",
CAMP 002,TRUE,"Camponotus (Myrmamblys) kutteri Forel, 1915",,?,Formicinae,"black, hairy body, shape of thorax moreless in one line without declinations, eyes in upper position, petiolus rounded with long hairs on top, big soldiers with characteristic clypeus and strong mandibles",very goiod fit with Sumatra types of C. kutteri in both castes
CAMP 003,TRUE,"Camponotus wanangus Klimes & McArthur, 2014",,?,Formicinae,"new species close to sp. 002 - looks bigger and has prominent higher propodeal ""hump' area and abdomen with lighter colour between segments, otherwise very similar to 002, also 1 ""minor"" coll. in another sample which closer to 003 than 002!",Archie: sp. novae! being described as wanangus
CAMP 004,TRUE,"Colobopsis aruensis Karavaiev, 1933",,?,Formicinae,"dark black body with light append., one propodeal spine on thorax, smooth not too hairy body, majors without ridge and with depressed lowered/lighten brown front head and mandibuls",Archie-redescr.
CAMP 005,TRUE,"Colobopsis sp. 5 aff. conithorax Emery, 1914",,?,Formicinae,"black brown body, but white coxas, tibias and upper side of abdomen, single ridge on propodeum with two peeks, the second one sharper (almost like two ridges-slightly lowered part in the middle), pair of hairs alone on upper frons, petiolus without hairs and similar shape as Camp 006","Archie: thinks that this sp. or related to poecilus (but likely rather novel sp. close to aruensis/conithorax group, as  Camp 011/029 looks more as pictostriatus/poecilus with hairs on petiolus, and this sp. lack hairs on petiolus as aruensis), DNA confirms proximity to the aruensis group"
CAMP 006,TRUE,"Colobopsis conithorax Emery, 1914",,?,Formicinae,"similar to 004 but brown body without hairs, white coxas, tibias and parts of abdomen, single ridge on propodeum, lighter and darker patches around sides of thorax, petiolus half-black -half-white, majors have flatenned clypeus area and less sharpen ridge","Archie determined as conithorax, confirmed later it is right as excellent match to TYPE Camponotus conithorax casent0913713  (antwiki 14072015), weirdly conithorax matches 100% DNA info C.aruensi (COI, 28S and Wgs) but probably very closely related ""sp."" to it (or its morph, kept separate because of valid taxonomy)"
CAMP 007,TRUE,"Camponotus (Myrmamblys) sp. 7 aff. trajanus Forel, 1912",,?,Formicinae,"similar to CAMP 006 but another shape of ridge (rounded, broader and higher hump) and without colour dark/light patches on the body, black petiolus, long hairs on propodeal hump","Archie determined as trajanus, but according images in the book very difficult to tell appart, howevr photos opf types on antweb shows very diff. (but related) PNG species, changed to aff."
CAMP 008,TRUE,"Colobopsis sp. 8 aff. sanguinifrons Viehmeyer, 1925",,,Formicinae,"brown medium sp., less hairy with short hairs only, smooth body, upper thorax without any declines and ridges (moreless straight shape), majors and queen have characteristically flattened front head with many short golden-tip-widened hairs + dots, sculptured lines on frons!, has intermediate cast of CAMP 008 - less prominent flattened front head and dots, fits with HP0048, medium strong line going across clypeus and also suturae on frontal area, before marked as CAMP015(connected)","Archie determined as sanguinifrons, and according images in the book very difficult to tell appart, however photos of types on antweb now shows  diff. (but related) PNG species, changed to aff., this sp. also morphologically closer to ""rotundus"""
---CAMP 009,FALSE,"Camponotus (Colobopsis) aff. aruensis Karavaiev, 1933",,?,Formicinae,"similar to CAMP 006, but  another shape of thorax (heighten propodeum),  probably major spc. but smaller head and another front head compared to major  of C. 006, original aruensis is smaller minor black worker with similar shape of petiolus and thorax.","might be intermediate cast of C.aruensis,( but never such specimens observed in the nest) or novel related species to it."
CAMP 010,TRUE,"Colobopsis cf. macrocephala (Erichson, 1842)",,?,Formicinae,"larger sp, yellow body, only a little of small hairs and 4 longer hairs on frons, smooth body, sharp petiolus, smooth upper thorax, major with yellow brown colour (darker head than minors) and medium line on clypeus well visible",workers similar to original macrocephalus (except of very light colour) but majors much smoother head- it is real macrocephalus (Archie) or very closely related papuan species
CAMP 011,TRUE,"Camponotus (Myrmamblys) aff. pictostriatus Karavaiev, 1933",,?,Formicinae,"medium black, almost smooth - only a few longer hairs in pairs, sides of thorax with soft lines, higher propodeum (almost like 2 waves) and depressed mesothorax, very little and low rounded petiolus with erected long hairs, larger oval eyes in minors, white spot on abdomen dorsum /*it can have also brown-light colour but only variability (the light form fits more to poecilus, but poecilus and pictostriatus might be a single species as we have here similar colour variability in Wanang!)","might be sp. novae related to  pictostriatus (or peocilus/trajanus group), but Archie not sure about novelty"
CAMP 012,TRUE,"Camponotus (Tanaemyrmex) cf. chloroticus Emery, 1897",,?,Formicinae,"large yellow brown sp., similar to CAMP 010, but larger and browner, biger head esp. in majors, longer hairs, sharper propodeal angle, petiolus less sharped, majors have clypeus without medium line",(Archie: subnitidus sp. group as 018)- but match very well with chloroticus photos of types on antweb!!
CAMP 013,TRUE,"Colobopsis quadriceps (Smith F., 1859)",,?,Formicinae,"nesting often in Edospermum, upper shape of thorax moreless direct from side view, but with wave in the middle (mesothorax a bit higher), apparent sharp protuberances on sides of front clypeus",
CAMP 014,TRUE,"Colobopsis rotunda Klimes & McArthur, 2014",,,Formicinae,"sibling of CAMP 008-thorax in one line and  flattened frons type,  but only head dark brown, rest of body much lighter, soldiers has no sculptured lines on frons and less hairs than soldiers of 008!, also differences in hairing in minors (petiolus broader from above view and without hairs x sp.8)","Archie: sp. novae near C. hosei, being described as rotundus (changed to Colob. rotunda by P.Ward rev.)"
---CAMP 015,FALSE,"Camponotus sp. 15 aff. sanguinifrons Viehmeyer, 1925",,,Formicinae,"intermediate cast of CAMP 008 - less prominent flattened front head and dots, fits with HP0048 (foremr XXXX 002), medium line going across clypeus and also frontal area, before marked as CAMP015 (connected)",
CAMP 016,TRUE,"Camponotus (Tanaemyrmex) dorycus confusus Emery, 1887",,?,Formicinae,"very big species with slender body and long appends., sharp petiolus, brown colour, often in termite nests or under epiphytes",
CAMP 017,TRUE,"Colobopsis aff. polynesica (Emery, 1896)",,?,Formicinae,"very sibling of CAMP 010 in workers but bigger and differences in hairing on the head,  majors have totally different front head with liny structure","much closer to original type macrocephalus, but seems that shape of heads is broader in lower part than upper part, Archie write description as novel sp. but then changed mind to polynesicus (Eli Sarnat and Economo: by sequence probably still nov. sp. close to polynesicus, but needs more nests and see types!)"
CAMP 018,TRUE,"Camponotus (Tanaemyrmex) cf. variegatus (Smith, F., 1858)",,?,Formicinae,"cf. sp. 16 (and 12), majors have dark brown head but yellow body, miners look bigger with more slender head and less hairy body than sp. 12,  From sp. 16 differes in less hairs on thorax and head, usually lighter color of thorax  and straight sides of the head from front","(Archie: subnitidus sp. group as 018)- but match very well with variegatus photos of types on antweb!!, certainly not colobopsis…"
CAMP 019,TRUE,"Camponotus triangulatus Klimes & McArthur, 2014",,?,Formicinae,"almost no long hairs on the body and short sharp petiolus (x sp.11), propodeal area higher and oblonge (but less than in sp.3), white front coxas and black body, sharp ""trianguklar ""clypeus!!! (more than all other Camp in coll.), soldiers close to Camp 004,005,006 group but larger and with even thorax, dark brown but also white front coxas as workers","being described as triangulatus, confirmed clearly by DNA that should be in Colobopsis and releted to vitreus gr.   (but P. Ward in his rev. 2016 keeps it as Camponotus!)"
CAMP 020,TRUE,"Camponotus  (Myrmamblys) sp. 20 aff. janeti Forel, 1895",,?,Formicinae,"black colour and fine hairs, a bit similar to CAMP 001 by sharp-high petiolus and to CAMP002 by even thorax with small hairs, but majors have very different head with dots (as in 003 but rounded head), minors slender with long legs and almost even thorax with low and not deep declivity","close to C. janeti according Archie (from photos), but different colour of minors workers and short hairs over the body, triangular petiolus and lowered propodeum (janeti has long hairs and is rather smooth surface and blunt petiolus)-rather novel species-indiv.given to Archie during his 1th visit of Czech Rep in 2013."
CAMP 021,TRUE,Overbeckia sp. nov. aff. subclavata,,?,Formicinae,"larger Camp. resembling a Polyrhachys-but segments of abd. and barcodes fits Camp. genus,  smoother black species with yellow petiolus and legs, no spines on petiolus and on thorax, former as POLY 024, revision of literature and measurements and antweb hows sp. closely related to Overbeckia subclavata","fits very well with C. janeti workers from Queensland in Archie book (but clarified from emails and type photos that there is mistake in the book!!!, not janeti but likely novel sp.), no majors collected in this nest and Q looks as minor (unsual, young clony without majors??=sp. in archie book got majors),  definitelly diff. species and likely novel (has majors a bit similar to janeti, but totally different minor workers!!!and also  a larger in size)."
CAMP 022,TRUE,"Camponotus anezkae Klimes & McArthur, 2014",,?,Formicinae,"new species from Secondary forest plot/ even and rounded high thorax and long erected sparse hairs, + soft lining on sides of propodeum, dark brown whole scalus and hairs on top of petiolus - see also its related sp. CAMP025 and CAMP034","being described as anezkae, probably Myrmamblys subgenus but in publ. Klimes and McArchie we avoided subgeneric classification"
----CAMP 023,FALSE,Camponotus sp. 23 aff. anezkae - see CAMP034,,?,Formicinae,"close to CAMP 022, but less hairy (2 long thick hairs on frons and few pairs on thorax) and shorter petiolus, and thorax shape  is moreless evenly rounded with a small hump slightly concave in the middle on propodeum - SINGLETON PHOTOGRAFIED AS HP0653 - former sp.23 is likely CAMP034 (corrected on 9/8/2017)","in nest series some variability within CAMP022, hairs likely broken off and propodeum sometimes sligthly concave and less rounded in some indiv., some nests also only dark black individuals without lighter front head (variable) and whiter but darker hairs, similar specimen also in Justine material but with majors as in 022 (but some singletons might be confused with CAMP034)"
CAMP 024,FALSE,Colobopsis sp. 24 aff. aruensis (aruensis group),Nic,,Formicinae,"Similar to CAMP004 but larger body and sharper propodeal spine, diff. petiolus which is wide and got tiny two sharp corners from dorsaly from the back view, smaller eyes / majors typical Colobopsis like with flat head abnd very close to aruensis majors",Yawan
CAMP 025,FALSE,Camponotus sp. 25 aff. anezkae,Petr,,Formicinae,"new Camp close to CAMP022, but much deaper propodeal declivity and different (larger) petiolus, frontal of head very similar as sp.22 but eyes smaller, M. Leponce 1200 m.a.s.l., from, by hairs and petiolus reminds  ""albocinctus sp.34"" but has not declined propodeum in the middle and much smaller eyes",M. Leponce 1200 m.a.s.l.
CAMP 026,FALSE,"Camponotus xanthopilus Shattuck, 2005",Petr,,Formicinae,"aureopilus sp. group, gloden hairs on abdomen in great number but less dense and on first segment rather just in middle or missing, shiny black head with small punctation, fits well with xanthophilus except somewhat more small hairs also on head (but this is likely caste variability as major from Exxon has less hair but minor more) = note xanthophilus described only as major (possibility that xanthophilus=posteropilus one species as gold hairs loose in ethanol but series from Exxon EXX0056 rather suggest two good species)","compared with Shattuck 2005 Zootaxa key, aureophilus group"
CAMP 027,FALSE,"Camponotus cf. aureopilus Viehmeyer, 1914",Petr,,Formicinae,"aureopilus sp. group, close to Camp 026/xanthofilus but thorax almost without hairs with only few long hairs on mesothorax, more apparent propodeal declivity and a bit lower petiolus, smooth head broader posteriorly, only very few golden hairs on top of middle part of abdomen (over one tergit only) but these more apparent in minors (1 major has them too, one not, but could be also an artefact of loosing the hairs due to damage), according the key fits quite well with C. aureopilus, but has less dense pubescence and darker colour (black incl. legs)","compared with Shattuck 2005 Zootaxa key, aureophilus group -according the key fits well with C. aureopilus, but has less dense pubescence, major w of aureopilus unknown which makes more difficult to tell if this is within species variability, effect of glue damage in ethanol or new sp. related closely to aureopilus/xanthopilus"
CAMP 028,TRUE,"Camponotus mussolinii Donisthorpe, 1936",Petr,,Formicinae,"sp. from aureophilus sp. group of rather smaller size with lot of long white hairs, especially on pronotum and petiolus, very good fit with photo and descr. in Shattuck 2005 (*best fit with numba NA0088, ML 10434 loosed hairs probably)","compared with Shattuck 2005 Zootaxa key, aureophilus group"
---CAMP 029,FALSE,"Camponotus cf. poecilus Emery, 1893 = sp. 11",Petr 2013/12,,Formicinae,"Based on images fit with CAMP 011=light colour ""immature"" variation /*most likely to confuse with CAMP 005 (aruensis group) but: MINORS x concave declivity between two propodeal ""humps"", 2 hairs on petiolus (one short on each side), no white patch on front abdominal tergit, MAJORS x quite similar in shape of thorax, but light colour with smooth front of head, white abodmen from above, position of eyes not on sides of head from the front view, also 2 hairs on petiolus",according photos in Archie book and ant web types- this could be C. poecilus or very very close sp. to it (but perhaps poecilus and pictostriatus could be a single species - colour variation!!!)
CAMP 030,FALSE,"Camponotus posteropilus Shattuck, 2005",Justine,,Formicinae,"aureopilus sp. group, golden hairs on abdomen in great number over whole dorsum incl. first segment in full its width, + also lot of enlarged white hairs on pronotum, sharp high petiolus as in sp. 26, also the majors have a row of whitish hears on the head on clypeus and along carinae (in sp. 26 rather only very few of short darker hairs in majors)","compared with Shattuck 2005 Zootaxa key, aureophilus group / majors, in the paper only minor described"
CAMP 031,FALSE,Camponotus sp. 31 aff. sp. 20,,?,Formicinae,"it looks almost as majors of sp.20, but thinner and higher petiolus, should be sequenced as it could be also intermediate cast of sp. 20 (intermediate soldiers), we have only same looking individuals and not clear what cast (minor, intermediates or majors), might be also confused in ethanol with sp.8: similar thorax shape, size and color (but very different - eyes more in middle of the head, narrow carinae),  x for now putted as diff. morphospecies","checked with janeti type photos and it is very different (not blunt petiolus, different eye position etc.)"
CAMP 032,FALSE,Camponotus sp. 32,Petr 2015/03,?,Formicinae,"resebles a bit sp.18 but dark color with only legs ligher, without hairs on petiolus, even round and high thorax with fine striation on sides, checked also twith aureophilus group, but not like them at all.",Numba
CAMP 033,TRUE,"Camponotus sp. 33 cf. flavocassis Donisthorpe, 1941",Petr 2015/03,?,Formicinae,"narrow carinae and largely rounded and high mesoth and propodeum with steep declivity, fine striation of lateral sides of thorax, dark brown to black color with light coxas, both majors and minors have also four white spots on abdominal dorsum, majors have front of the head lighter than the rest of the head (by this resembling also some Camp022)","Numba/ majors are very close to C. flavocassis on antweb, but type spec. lacks white spots on abdomen and has also lighter (yellow) area between carinae"
CAMP 034,FALSE,"Camponotus albocinctus (Ashmead, 1905)",Petr 2015/03,?,Formicinae,"very close to CAMP022 - thicker black hairs and humped propodeum slightly declined in the middle (as in CAMP011 but that sp. has very dif. petiolus and yet more humped thorax), different petiolar shape (not sharp) with two long hairs and half-dark scapus (hairs on petiolus never in CAMP022-checked in ethanol) according web it is very likely C.albocinctus, which is likely thus closely related sp. to C. anezkae, majors also have hairs on petiolus and thorax has posterior of propodeum with more abrupt angle and flat top of propodeum, former CAMP023 (=""rare morph"") of CAMP022 part of CAMP034), overall both species very similar and might be easily confused","Jimmy, Kausi 200m / Baitabag"
CAMP 035,FALSE,"Camponotus cyrtomyrmodes Donisthorpe, 1941",Petr 2015/04,?,Formicinae,"aureopilus sp. group, very good fit with photos in Shattuck 2005 paper, ridge behing eyes and characteristic quadric shape of head from above, lacking golden hairs, blunt wide petiolus (x sp. 27 which has also low but sharpened petiolus), posterior half of scapus is lighter","Jimmy, 700m"
CAMP 036,FALSE,Colobopsis sp. 35 aff. sp. 24 (aruensis group),Nic,,Formicinae,"close to sp.24 from Yawan (large size than aruensis and longer prop.ridge), as this species also round clypeus, however by petiolar shape and larger eyes resembles aruensis / key: x aruensis = flater petiolus/larger size/lack of fine striation on thoracal sides, x sp.24 = petiolus not pointed and with blunt corners from back view mesothorax not declined.",Numba
CAMP 037,TRUE,Colobopsis sp. 37 aff. sp. 8,Petr 2015/08,,Formicinae,"very close to sp.8 (the same looking minors), based on major w: much more truncated head with clypeus as oval plate without any median line, and truncation almost immidiately below antennas (with no frontal suturae along them).","Numba, should be confirmed molecularly if weel diff. from sp. 8 or only deeper truncation within the same species."
